filename,displayName
john-gurney-candidate-aylesbury-buckinghamshire.md,John Gurney Candidate — Aylesbury / Buckinghamshire (A)
john-gurney-candidate-berkhamsted-hertfordshire.md,John Gurney Candidate — Berkhamsted / Hertfordshire (C)
john-gurney-candidate-london-draper.md,John Gurney Candidate — London Draper / Old Change (D)
john-gurney-candidate-ackworth-yorkshire.md,John Gurney Candidate — Ackworth / Yorkshire
john-gurney-candidate-earsham-norfolk.md,John Gurney Candidate — Earsham / Norfolk (d. 1638)
john-gurney-candidate-others.md,John Gurney Candidate — Others (same-name comparators)
