id,idType,label,canonicalFile
place-54-hudson-street-manhattan-new-york-usa,place,"54 Hudson Street, Manhattan, New York, USA",data/places.json
place-55-pike-street-manhattan-new-york-usa,place,"55 Pike Street, Manhattan, New York, USA",data/places.json
place-75-mount-road-cummington-massachusetts-usa,place,"75 Mount Road, Cummington, Massachusetts, USA",data/places.json
place-le-bec-hellouin-normandy-france,place,"Abbey of Bec / Le Bec-Hellouin, Normandy, France",data/places.json
place-abington-massachusetts-usa,place,"Abington, Massachusetts, USA",data/places.json
place-ardleigh-essex-england,place,"Ardleigh, Essex, England",data/places.json
place-attleborough-norfolk-england,place,"Attleborough, Norfolk, England",data/places.json
place-baconsthorpe-castle-norfolk-england,place,"Baconsthorpe Castle, Baconsthorpe, Norfolk, England",data/places.json
place-bedfordshire-england,place,"Bedfordshire, England",data/places.json
place-billerica-massachusetts-usa,place,"Billerica, Massachusetts, USA",data/places.json
place-booton-norfolk-england,place,"Booton, Norfolk, England",data/places.json
place-bosc-hyons-boshyon-normandy-france,place,"Bosc-Hyons (medieval Boshyon / Boscus Hugonis), Seine-Maritime, Normandy, France",data/places.json
place-braintree-massachusetts-usa,place,"Braintree, Massachusetts, USA",data/places.json
place-bridgewater-massachusetts-usa,place,"Bridgewater, Massachusetts, USA",data/places.json
place-buckinghamshire-england,place,"Buckinghamshire, England",data/places.json
place-burnham-thorpe-norfolk-england,place,"Burnham Thorpe, Norfolk, England",data/places.json
place-la-ferte-butte-feodale-normandy-france,place,"Butte féodale / Château de La Ferté, La Ferté-Saint-Samson, Normandy, France",data/places.json
place-caister-on-sea-norfolk-england,place,"Caister-on-Sea, Norfolk, England",data/places.json
place-cantley-norfolk-england,place,"Cantley, Norfolk, England",data/places.json
place-cawston-norfolk-england,place,"Cawston, Norfolk, England",data/places.json
place-charleston-south-carolina-usa,place,"Charleston, South Carolina, USA",data/places.json
place-chatham-new-jersey-usa,place,"Chatham, New Jersey, USA",data/places.json
place-city-of-london-england,place,"City of London, England",data/places.json
place-collegiale-saint-hildevert-gournay-en-bray-normandy-france,place,"Collégiale Saint-Hildevert, Gournay-en-Bray, Normandy, France",data/places.json
place-conquets-hue-de-gournay-beauvaisis-france,place,"Conquêts Hue de Gournay / Beauvaisis frontier acquisitions, France",data/places.json
place-cottentray-avesnes-en-bray-normandy-france,place,"Cottentray (Avesnes-en-Bray), Normandy, France",data/places.json
place-cummington-massachusetts-usa,place,"Cummington, Massachusetts, USA",data/places.json
place-dexter-michigan-usa,place,"Dexter, Michigan, USA",data/places.json
place-east-dereham-norfolk-england,place,"East Dereham, Norfolk, England",data/places.json
place-east-field-weymouth-massachusetts-usa,place,"East Field, Weymouth, Massachusetts, USA",data/places.json
place-essex-england,place,"Essex, England",data/places.json
place-flegg-norfolk-england,place,"Flegg, Norfolk, England",data/places.json
place-flushing-queens-new-york-usa,place,"Flushing, Queens, New York, USA",data/places.json
place-fordham-essex-england,place,"Fordham, Essex, England",data/places.json
place-fort-wayne-indiana-usa,place,"Fort Wayne, Indiana, USA",data/places.json
place-g33-bec-gournay-endowment-cluster-pays-de-bray-france,place,"G33 Bec / Gournay endowment cluster, Pays de Bray, France",data/places.json
place-gaillefontaine-castle-domain-normandy-france,place,"Gaillefontaine castle / domain, Normandy, France",data/places.json
place-gournay-fortifications-tour-du-rempart-normandy-france,place,"Gournay fortifications / Tour du Rempart, Gournay-en-Bray, Normandy, France",data/places.json
place-gournay-en-bray-normandy-france,place,"Gournay-en-Bray, Normandy, France",data/places.json
place-great-ellingham-norfolk-england,place,"Great Ellingham, Norfolk, England",data/places.json
place-whitmans-pond-east-side-weymouth-massachusetts-usa,place,"Great Lots east of Whitman's Pond (Fresh Pond), Weymouth, Massachusetts, USA",data/places.json
place-gurneys-manor-hingham-norfolk-england,place,"Gurney's Manor, Hingham, Norfolk, England",data/places.json
place-hackettstown-new-jersey-usa,place,"Hackettstown, New Jersey, USA",data/places.json
place-hardingham-norfolk-england,place,"Hardingham, Norfolk, England",data/places.json
place-harpley-norfolk-england,place,"Harpley, Norfolk, England",data/places.json
place-hellesdon-norfolk-england,place,"Hellesdon, Norfolk, England",data/places.json
place-hingham-norfolk-england,place,"Hingham, Norfolk, England",data/places.json
place-indianapolis-indiana-usa,place,"Indianapolis, Indiana, USA",data/places.json
place-irstead-norfolk-england,place,"Irstead, Norfolk, England",data/places.json
place-gurney-tyng-farm-quincy-massachusetts-usa,place,"John Gurney's leased Tyng farm (later the Adams Old House), Braintree/Quincy, Massachusetts, USA",data/places.json
place-gurney-monatiquot-freehold-braintree-massachusetts-usa,place,"John Gurney's Monatiquot River freehold, Braintree, Massachusetts, USA",data/places.json
place-kings-lynn-norfolk-england,place,"King's Lynn, Norfolk, England",data/places.json
place-la-ferte-foundation-endowment-cluster-pays-de-bray-france,place,"La Ferté foundation endowment cluster, Pays de Bray, France",data/places.json
place-la-ferte-en-bray-normandy-france,place,"La Ferté-en-Bray / La Ferté-Saint-Samson, Normandy, France",data/places.json
place-larling-norfolk-england,place,"Larling, Norfolk, England",data/places.json
place-lessingham-norfolk-england,place,"Lessingham, Norfolk, England",data/places.json
place-letton-norfolk-england,place,"Letton, Norfolk, England",data/places.json
place-lewes-sussex-england,place,"Lewes, Sussex, England",data/places.json
place-liston-essex-england,place,"Liston, Essex, England",data/places.json
place-abington-whitman-line-massachusetts-usa,place,"Little Comfort / Abington-Bridgewater line, Massachusetts, USA",data/places.json
place-marion-indiana-usa,place,"Marion, Indiana, USA",data/places.json
place-mendon-massachusetts-usa,place,"Mendon, Massachusetts, USA",data/places.json
place-middleborough-massachusetts-usa,place,"Middleborough, Massachusetts, USA",data/places.json
place-mill-field-weymouth-massachusetts-usa,place,"Mill Field, Weymouth, Massachusetts, USA",data/places.json
place-montigny-sur-andelle-normandy-france,place,"Montigny-sur-Andelle, Normandy, France",data/places.json
place-new-york-metropolitan-area-usa,place,"New York metropolitan area, USA",data/places.json
place-norfolk-england,place,"Norfolk, England",data/places.json
place-normandy-france,place,"Normandy, France",data/places.json
place-bellosanne-abbey-bremontier-merval-normandy-france,place,"Notre-Dame de Bellozanne abbey, Brémontier-Merval, Normandy, France",data/places.json
place-old-hall-great-ellingham-norfolk-england,place,"Old Hall, Great Ellingham, Norfolk, England",data/places.json
place-oxfordshire-england,place,"Oxfordshire, England",data/places.json
place-pays-de-bray-normandy-picardy-france,place,"Pays de Bray, Normandy / Picardy frontier, France",data/places.json
place-port-washington-new-york-usa,place,"Port Washington, New York, USA",data/places.json
place-portland-oregon-usa,place,"Portland, Oregon, USA",data/places.json
place-priory-saint-pierre-saint-paul-la-ferte-en-bray-normandy-france,place,"Priory / Church of Saint-Pierre-et-Saint-Paul, La Ferté-en-Bray, Normandy, France",data/places.json
place-gurney-homestead-great-pond-weymouth-massachusetts-usa,place,"Richard Gurney Homestead — Great Pond (west side), Weymouth, Massachusetts, USA",data/places.json
place-rochester-massachusetts-usa,place,"Rochester, Massachusetts, USA",data/places.json
place-runhall-norfolk-england,place,"Runhall, Norfolk, England",data/places.json
place-saxthorpe-norfolk-england,place,"Saxthorpe, Norfolk, England",data/places.json
place-scandinavia,place,Scandinavia,data/places.json
place-sigy-saint-martin-priory-normandy-france,place,"Sigy / Abbaye Saint-Martin, Sigy-en-Bray, Normandy, France",data/places.json
place-st-louis-missouri-usa,place,"St. Louis, Missouri, USA",data/places.json
place-suffolk-england,place,"Suffolk, England",data/places.json
place-tower-of-london-england,place,"Tower of London, London, England",data/places.json
place-wellesley-massachusetts-usa,place,"Wellesley, Massachusetts, USA",data/places.json
place-west-barsham-norfolk-england,place,"West Barsham, Norfolk, England",data/places.json
place-weymouth-massachusetts-usa,place,"Weymouth, Massachusetts, USA",data/places.json
place-ecouche-normandy-france,place,"Écouché, Normandy, France",data/places.json
place-fry-eglise-saint-martin-normandy-france,place,"Église Saint-Martin, Fry, Normandy, France",data/places.json
complete-history-england-1706-v1,source,"A Complete History of England, vol. 1 (1706)",data/sources.json
descriptive-catalogue-ancient-deeds,source,"A Descriptive Catalogue of Ancient Deeds (TNA, HMSO)",data/sources.json
aalt-cp40-edward-i,source,"AALT CP 40, Edward I",data/sources.json
abington-vr-1850-vol1,source,"Abington Vital Records to 1850, vol. 1",data/sources.json
accessgenealogy-lysander-franklin-gurney,source,"AccessGenealogy, Lysander Franklin Gurney",data/sources.json
actors-fund-of-america-history,source,Actors' Fund of America history (Wikipedia; NYU finding aid),data/sources.json
actors-order-of-friendship-history,source,Actors' Order of Friendship (Oxford Reference),data/sources.json
mhs-winthrop-papers-adam-winthrop-diary-1605,source,"Adam Winthrop's diary, 3 Oct. 1605: Lewkenor deaths (Winthrop Papers I:153)",data/sources.json
alumni-cantabrigienses-venn,source,Alumni Cantabrigienses (Venn) — ACAD database,data/sources.json
american-biography-cyclopedia-v26-gurney-1926,source,"American Biography, vol. 26 - Gurney",data/sources.json
ancestry-pcc-wills-1384-1858,source,"Ancestry - PCC Wills, 1384-1858 (collection 5111)",data/sources.json
ancestry-child-apprentices-christs-hospital-1617-1778,source,"Ancestry / Coldham, Child Apprentices in America from Christ's Hospital, London, 1617–1778",data/sources.json
ancestry-emigrants-in-bondage-1614-1775,source,"Ancestry / Coldham, Emigrants in Bondage, 1614–1775",data/sources.json
ancestry-english-adventurers-emigrants-1609-1660,source,"Ancestry / Coldham, English Adventurers and Emigrants, 1609–1660",data/sources.json
ancestry-norfolk-1535-1812,source,"Ancestry / NRO, Norfolk Church of England Baptism, Marriages and Burials, 1535-1812",data/sources.json
anderson-yvery-1742,source,"Anderson, Genealogical History of the House of Yvery",data/sources.json
anderson-yvery-1742-vol-i,source,"Anderson, Genealogical History of the House of Yvery, Vol. I",data/sources.json
anderson-great-migration-begins-v1-baxter,source,"Anderson, Great Migration Begins vol. 1 - Gregory Baxter",data/sources.json
anderson-gmd-2015,source,"Anderson, Great Migration Directory",data/sources.json
anderson-new-englands-generation-1991,source,"Anderson, New England's Generation",data/sources.json
anselm-opera-schmitt,source,"Anselm, Opera Omnia (Schmitt)",data/sources.json
arber-stationers-registers-1554-1640-deferred,source,Arber - Transcript of the Registers of the Stationers' Company 1554-1640 (deferred),data/sources.json
acl-robert-gurney-will-1625,source,Archdeaconry Court of London - Robert Gurney will (1625),data/sources.json
archiuk-attleborough-nr17-domesday-search,source,ARCHI UK - NR17 local-history search,data/sources.json
armstrong-norfolk-1781,source,"Armstrong, History and Antiquities of the County of Norfolk (1781)",data/sources.json
aspinwall-notarial-records,source,Aspinwall Notarial Records 1644-1651 (32nd Record Commissioners Report),data/sources.json
ballou-history-of-milford-1882,source,"Ballou, History of Milford (1882)",data/sources.json
banks-planters-of-the-commonwealth-1930,source,"Banks, Planters of the Commonwealth (1930)",data/sources.json
banks-brownell-1937,source,"Banks/Brownell, Topographical Dictionary (1937)",data/sources.json
bardsley-english-welsh-surnames-1901,source,"Bardsley, Dictionary of English & Welsh Surnames",data/sources.json
bartlett-bartletts-of-weymouth-1892,source,"Bartlett, The Bartletts of Weymouth (1892)",data/sources.json
bates-ancient-iron-works-braintree-1898,source,"Bates, Ancient Iron Works at Braintree",data/sources.json
bauduin-franchises-normandie-orientale-2001,source,"Bauduin, Trois cas de peuplement en franchises",data/sources.json
beaurepaire-dict-topo-seine-maritime-1982,source,"Beaurepaire & Laporte, Dictionnaire topographique de la Seine-Maritime",data/sources.json
bhrs-v7-fowler-1926,source,Beds. Hist. Rec. Soc. vol. 7 (Fowler on de Gournai),data/sources.json
benjamin-gurney-harden-research-tables-2026-04,source,Benjamin Gurney / Harden research tables (2026-04),data/sources.json
british-archivist-bernau-1913,source,"Bernau, British Archivist - Francis Gournay",data/sources.json
bho-beaven-aldermen-richard-gourney-1589-1597,source,"BHO - Beaven aldermen, Richard Gourney",data/sources.json
bho-livery-haberdashers-gournay-charity,source,BHO - Haberdashers' Company Gournay's Charity,data/sources.json
bho-london-inhabitants-st-augustine-1638,source,"BHO - Inhabitants of London 1638, St Augustine",data/sources.json
bho-london-inhabitants-st-dunstan-west-1638,source,"BHO - Inhabitants of London 1638, St Dunstan in the West",data/sources.json
bho-port-trade-early-elizabethan-london-richard-gurney-1567-8,source,"BHO - London Port Book 1567-8, Richard Gurney",data/sources.json
bho-ipm-edward-iii-vol12-sancto-omero-mulbarton-1366,source,"BHO Calendar of IPM, Edward III, vol. 12 — Thomas de Sancto Omero (1366)",data/sources.json
bho-ipm-henry-vii-townshend-gurnay-feoffee,source,"BHO Calendar of IPM, Henry VII (series 2) - William Gurnay feoffee appearances",data/sources.json
bho-hmc-kings-lynn-chamberlains-accounts,source,BHO HMC - King's Lynn Chamberlains' Accounts,data/sources.json
bho-hmc-kings-lynn-misc-writings,source,BHO HMC - King's Lynn Miscellaneous Writings,data/sources.json
bho-ipm-edward-iii-file31-gournay-harpetree,source,BHO IPM Edward III File 31 - Thomas Gournay of Harpetree,data/sources.json
bho-ipm-edward-iii-file35-gournay-inglescombe,source,BHO IPM Edward III File 35 - Thomas Gournay of Inglescombe,data/sources.json
bho-ipm-edward-iii-vol7-bardolf-swathings,source,"BHO IPM Edward III vol. 7, no. 243 - Thomas Bardolf (Swathings/barony of Gurnay)",data/sources.json
bho-ipm-henry-iii-vol1-robert-gurnay,source,"BHO IPM Henry III vol. 1, no. 710 - Robert de Gurnay (d. 1269)",data/sources.json
bho-ipm-henry-iv-vol18-matthew-gournay,source,BHO IPM Henry IV vol. 18 - Sir Matthew de Gournay footprint,data/sources.json
bho-ipm-richard-ii-vol16-gournay-catecote,source,BHO IPM Richard II vol. 16 - Joan (Catecote) heiress; Roger Gournay,data/sources.json
bho-ipm-vol16-index-gournay,source,BHO IPM vol. 16 Index - Gournay/Gurney,data/sources.json
bho-ipm-henry-iv-vol19-gournay-johnv,source,"BHO IPM vol. 19 (Henry IV) - John Gournay (Sir John V), d.1408",data/sources.json
bho-journals-commons-lords,source,BHO Journals of the House of Commons & Lords (Civil-War Gurney items),data/sources.json
bho-statutes-realm-1661-assessment,source,BHO Statutes - 1661 Assessment Act,data/sources.json
billerica-town-records-ms,source,Billerica town records (MS),data/sources.json
blomefield-norfolk,source,"Blomefield, History of Norfolk",data/sources.json
