placeId,name,placeType,filename,linkedRecordIds,aliases
place-priory-saint-pierre-saint-paul-la-ferte-en-bray-normandy-france,"Priory / Church of Saint-Pierre-et-Saint-Paul, La Ferté-en-Bray, Normandy, France",priory / church,priory-saint-pierre-saint-paul-la-ferte.md,ancestor-g35-renaud-de-gournay;ancestor-g34-hugh-de-gournay-ii,"Saint-Pierre-et-Saint-Paul, La Ferté-en-Bray;Église Saint-Pierre et Saint-Paul de La Ferté;Priory of La Ferté-en-Bray;La Ferté priory;Church of Saints Peter and Paul, La Ferté"
place-gurney-homestead-great-pond-weymouth-massachusetts-usa,"Richard Gurney Homestead — Great Pond (west side), Weymouth, Massachusetts, USA",locality,gurney-homestead-great-pond-weymouth-ma.md,ancestor-g12-richard-gurney;ancestor-g12-richard-gurney,"West side of Great Pond, Weymouth;Richard Gurney homestead, Weymouth"
place-rochester-massachusetts-usa,"Rochester, Massachusetts, USA",locality,rochester-ma.md,ancestor-g10-benjamin-gurney;ancestor-g10-benjamin-gurney,"Rochester, MA"
place-runhall-norfolk-england,"Runhall, Norfolk, England",locality,runhall.md,ancestor-g29-matthew-de-gournay;ancestor-g30-william-de-gournay-i,"Runhall, Norfolk"
place-saxthorpe-norfolk-england,"Saxthorpe, Norfolk, England",locality,saxthorpe.md,collateral-g23-sir-john-gurney-knt-d-1408-collateral,"Saxthorpe, Norfolk"
place-scandinavia,Scandinavia,region,scandinavia.md,ancestor-g-37-eudes-odon-de-gournay;ancestor-g-38-unknown-scandinavian-ancestors,
place-sigy-saint-martin-priory-normandy-france,"Sigy / Abbaye Saint-Martin, Sigy-en-Bray, Normandy, France",abbey / priory / church,sigy-normandy.md,ancestor-g35-renaud-de-gournay,Sigy;Sigi;Sigy-en-Bray;Abbaye Saint-Martin;Église abbatiale Saint-Martin;Priory of Sigy;Saint-Martin de Sigy;Saint-Vulgain
place-st-louis-missouri-usa,"St. Louis, Missouri, USA",locality,st-louis-mo.md,ancestor-g1-allen-lawrence-gurney,"St. Louis, MO"
place-suffolk-england,"Suffolk, England",region,suffolk.md,ancestor-g31-walter-de-gournay,Suffolk
place-tower-of-london-england,"Tower of London, London, England",historic site,tower-of-london.md,collateral-g17-queen-anne-boleyn,Tower of London;Tower Green;Chapel Royal of St Peter ad Vincula
place-wellesley-massachusetts-usa,"Wellesley, Massachusetts, USA",locality,wellesley-ma.md,ancestor-g3-lester-sawyer-gurney-iii,"Wellesley, MA;Wellesley Hills"
place-west-barsham-norfolk-england,"West Barsham, Norfolk, England",locality,west-barsham.md,ancestor-g14-francis-gurney;ancestor-g15-henry-gurney;ancestor-g15-henry-gurney;ancestor-g16-francis-gurney;ancestor-g16-francis-gurney;ancestor-g17-anthony-gurney;ancestor-g17-anthony-gurney;ancestor-g19-william-gurney-iv;ancestor-g19-william-gurney-iv;ancestor-g20-thomas-gournay-ii;ancestor-g20-thomas-gournay-ii;ancestor-g21-thomas-gournay-i;ancestor-g21-thomas-gournay-i;ancestor-g23-edmund-gurney;collateral-g23-sir-john-gurney-knt-d-1408-collateral;collateral-g23-sir-john-gurney-knt-d-1408-collateral;ancestor-g18-william-gurney-v;ancestor-g18-william-gurney-v,"West Barsham, Norfolk"
place-weymouth-massachusetts-usa,"Weymouth, Massachusetts, USA",locality,weymouth-ma.md,ancestor-g10-benjamin-gurney;ancestor-g11-benjamin-gurney;ancestor-g12-richard-gurney;ancestor-g13-john-gurney-1,"Weymouth, MA"
place-ecouche-normandy-france,"Écouché, Normandy, France",locality / estate context,ecouche.md,ancestor-g32-gerard-de-gournay;ancestor-g33-hugh-de-gournay-iii,Écouché;Ecouche;Scoceium;Écouché-les-Vallées
place-fry-eglise-saint-martin-normandy-france,"Église Saint-Martin, Fry, Normandy, France",church / ecclesiastical endowment,fry-eglise-saint-martin.md,ancestor-g35-renaud-de-gournay;ancestor-g34-hugh-de-gournay-ii,"Fry;Fry, Seine-Maritime;Church of Saint-Martin, Fry;Église Saint-Martin de Fry"
